RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,T,1670245212.212,25.3989999294281,2022-12-05 08:00:12.212000,2022-12-05 00:00:12.212000,2022-12-05 01:00:12.212000,2022-12-05 12:00:12.212000 AM,2022-12-05 01:00:12.212000 AM
1,EB,T,1670244527.813,207.3989999294281,2022-12-05 07:48:47.813000,2022-12-04 23:48:47.813000,2022-12-05 00:48:47.813000,2022-12-04 11:48:47.813000 PM,2022-12-05 12:48:47.813000 AM
1,EB,T,1670245199.811,660.699000120163,2022-12-05 07:59:59.811000,2022-12-04 23:59:59.811000,2022-12-05 00:59:59.811000,2022-12-04 11:59:59.811000 PM,2022-12-05 12:59:59.811000 AM
1,EB,L,1670244637.813,761.2999999523163,2022-12-05 07:50:37.813000,2022-12-04 23:50:37.813000,2022-12-05 00:50:37.813000,2022-12-04 11:50:37.813000 PM,2022-12-05 12:50:37.813000 AM
1,EB,L,1670244747.812,90.49900007247925,2022-12-05 07:52:27.812000,2022-12-04 23:52:27.812000,2022-12-05 00:52:27.812000,2022-12-04 11:52:27.812000 PM,2022-12-05 12:52:27.812000 AM
5,NB,L,1670243295.652,757.6009998321533,2022-12-05 07:28:15.652000,2022-12-04 23:28:15.652000,2022-12-05 00:28:15.652000,2022-12-04 11:28:15.652000 PM,2022-12-05 12:28:15.652000 AM
5,NB,L,1670244335.052,1028.3970000743866,2022-12-05 07:45:35.052000,2022-12-04 23:45:35.052000,2022-12-05 00:45:35.052000,2022-12-04 11:45:35.052000 PM,2022-12-05 12:45:35.052000 AM
1,SB,L,1670244417.812,86.80100011825562,2022-12-05 07:46:57.812000,2022-12-04 23:46:57.812000,2022-12-05 00:46:57.812000,2022-12-04 11:46:57.812000 PM,2022-12-05 12:46:57.812000 AM
1,SB,L,1670245077.812,651.2000000476837,2022-12-05 07:57:57.812000,2022-12-04 23:57:57.812000,2022-12-05 00:57:57.812000,2022-12-04 11:57:57.812000 PM,2022-12-05 12:57:57.812000 AM
5,EB,T,1670244820.353,143.89100003242493,2022-12-05 07:53:40.353000,2022-12-04 23:53:40.353000,2022-12-05 00:53:40.353000,2022-12-04 11:53:40.353000 PM,2022-12-05 12:53:40.353000 AM
