RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
1,NB,T,1670245362.014,175.20099997520447,2022-12-05 08:02:42.014000,2022-12-05 00:02:42.014000,2022-12-05 01:02:42.014000,2022-12-05 12:02:42.014000 AM,2022-12-05 01:02:42.014000 AM
1,EB,T,1670244534.314,213.89999985694885,2022-12-05 07:48:54.314000,2022-12-04 23:48:54.314000,2022-12-05 00:48:54.314000,2022-12-04 11:48:54.314000 PM,2022-12-05 12:48:54.314000 AM
1,EB,T,1670245206.414,667.3020000457764,2022-12-05 08:00:06.414000,2022-12-05 00:00:06.414000,2022-12-05 01:00:06.414000,2022-12-05 12:00:06.414000 AM,2022-12-05 01:00:06.414000 AM
1,EB,L,1670244653.812,777.2990000247955,2022-12-05 07:50:53.812000,2022-12-04 23:50:53.812000,2022-12-05 00:50:53.812000,2022-12-04 11:50:53.812000 PM,2022-12-05 12:50:53.812000 AM
1,EB,L,1670244752.811,95.4980001449585,2022-12-05 07:52:32.811000,2022-12-04 23:52:32.811000,2022-12-05 00:52:32.811000,2022-12-04 11:52:32.811000 PM,2022-12-05 12:52:32.811000 AM
5,NB,L,1670243300.652,762.6009998321533,2022-12-05 07:28:20.652000,2022-12-04 23:28:20.652000,2022-12-05 00:28:20.652000,2022-12-04 11:28:20.652000 PM,2022-12-05 12:28:20.652000 AM
5,NB,L,1670244339.656,1033.0009999275208,2022-12-05 07:45:39.656000,2022-12-04 23:45:39.656000,2022-12-05 00:45:39.656000,2022-12-04 11:45:39.656000 PM,2022-12-05 12:45:39.656000 AM
1,SB,L,1670244423.114,92.10300016403198,2022-12-05 07:47:03.114000,2022-12-04 23:47:03.114000,2022-12-05 00:47:03.114000,2022-12-04 11:47:03.114000 PM,2022-12-05 12:47:03.114000 AM
1,SB,L,1670245083.114,656.5020000934601,2022-12-05 07:58:03.114000,2022-12-04 23:58:03.114000,2022-12-05 00:58:03.114000,2022-12-04 11:58:03.114000 PM,2022-12-05 12:58:03.114000 AM
5,EB,T,1670244827.352,150.89000010490417,2022-12-05 07:53:47.352000,2022-12-04 23:53:47.352000,2022-12-05 00:53:47.352000,2022-12-04 11:53:47.352000 PM,2022-12-05 12:53:47.352000 AM
5,EB,T,1670245053.255,221.90300011634827,2022-12-05 07:57:33.255000,2022-12-04 23:57:33.255000,2022-12-05 00:57:33.255000,2022-12-04 11:57:33.255000 PM,2022-12-05 12:57:33.255000 AM
5,WB,L,1670244378.052,1234.2980000972748,2022-12-05 07:46:18.052000,2022-12-04 23:46:18.052000,2022-12-05 00:46:18.052000,2022-12-04 11:46:18.052000 PM,2022-12-05 12:46:18.052000 AM
5,WB,L,1670245429.154,445.2000000476837,2022-12-05 08:03:49.154000,2022-12-05 00:03:49.154000,2022-12-05 01:03:49.154000,2022-12-05 12:03:49.154000 AM,2022-12-05 01:03:49.154000 AM
1,WB,L,1670244863.514,206.20099997520447,2022-12-05 07:54:23.514000,2022-12-04 23:54:23.514000,2022-12-05 00:54:23.514000,2022-12-04 11:54:23.514000 PM,2022-12-05 12:54:23.514000 AM
1,WB,L,1670245194.612,327.5989999771118,2022-12-05 07:59:54.612000,2022-12-04 23:59:54.612000,2022-12-05 00:59:54.612000,2022-12-04 11:59:54.612000 PM,2022-12-05 12:59:54.612000 AM
1,WB,T,1670245206.414,437.0020000934601,2022-12-05 08:00:06.414000,2022-12-05 00:00:06.414000,2022-12-05 01:00:06.414000,2022-12-05 12:00:06.414000 AM,2022-12-05 01:00:06.414000 AM
1,WB,T,1670245378.811,167.59100008010864,2022-12-05 08:02:58.811000,2022-12-05 00:02:58.811000,2022-12-05 01:02:58.811000,2022-12-05 12:02:58.811000 AM,2022-12-05 01:02:58.811000 AM
7,WB,T,1670245055.612,390.4010000228882,2022-12-05 07:57:35.612000,2022-12-04 23:57:35.612000,2022-12-05 00:57:35.612000,2022-12-04 11:57:35.612000 PM,2022-12-05 12:57:35.612000 AM
7,WB,T,1670245384.214,324.2119998931885,2022-12-05 08:03:04.214000,2022-12-05 00:03:04.214000,2022-12-05 01:03:04.214000,2022-12-05 12:03:04.214000 AM,2022-12-05 01:03:04.214000 AM
4,NB,L,1670244209.099,445.9949998855591,2022-12-05 07:43:29.099000,2022-12-04 23:43:29.099000,2022-12-05 00:43:29.099000,2022-12-04 11:43:29.099000 PM,2022-12-05 12:43:29.099000 AM
4,NB,L,1670244827.1,613.0,2022-12-05 07:53:47.100000,2022-12-04 23:53:47.100000,2022-12-05 00:53:47.100000,2022-12-04 11:53:47.100000 PM,2022-12-05 12:53:47.100000 AM
