RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
5,SB,L,1658519987.279,141.80700016021729,2022-07-22 15:59:47.279000,2022-07-22 07:59:47.279000,2022-07-22 08:59:47.279000,2022-07-22 07:59:47.279000 AM,2022-07-22 08:59:47.279000 AM
5,WB,L,1658519810.078,124.49699997901917,2022-07-22 15:56:50.078000,2022-07-22 07:56:50.078000,2022-07-22 08:56:50.078000,2022-07-22 07:56:50.078000 AM,2022-07-22 08:56:50.078000 AM
5,WB,L,1658519941.475,131.39699983596802,2022-07-22 15:59:01.475000,2022-07-22 07:59:01.475000,2022-07-22 08:59:01.475000,2022-07-22 07:59:01.475000 AM,2022-07-22 08:59:01.475000 AM
6,NB,T,1658519845.375,130.00099992752075,2022-07-22 15:57:25.375000,2022-07-22 07:57:25.375000,2022-07-22 08:57:25.375000,2022-07-22 07:57:25.375000 AM,2022-07-22 08:57:25.375000 AM
6,NB,T,1658519975.372,129.99699997901917,2022-07-22 15:59:35.372000,2022-07-22 07:59:35.372000,2022-07-22 08:59:35.372000,2022-07-22 07:59:35.372000 AM,2022-07-22 08:59:35.372000 AM
6,SB,L,1658519876.067,130.69299983978271,2022-07-22 15:57:56.067000,2022-07-22 07:57:56.067000,2022-07-22 08:57:56.067000,2022-07-22 07:57:56.067000 AM,2022-07-22 08:57:56.067000 AM
6,SB,L,1658520005.375,129.30800008773804,2022-07-22 16:00:05.375000,2022-07-22 08:00:05.375000,2022-07-22 09:00:05.375000,2022-07-22 08:00:05.375000 AM,2022-07-22 09:00:05.375000 AM
6,SB,T,1658519876.067,130.69299983978271,2022-07-22 15:57:56.067000,2022-07-22 07:57:56.067000,2022-07-22 08:57:56.067000,2022-07-22 07:57:56.067000 AM,2022-07-22 08:57:56.067000 AM
6,SB,T,1658520005.375,129.30800008773804,2022-07-22 16:00:05.375000,2022-07-22 08:00:05.375000,2022-07-22 09:00:05.375000,2022-07-22 08:00:05.375000 AM,2022-07-22 09:00:05.375000 AM
6,WB,L,1658519915.067,129.6949999332428,2022-07-22 15:58:35.067000,2022-07-22 07:58:35.067000,2022-07-22 08:58:35.067000,2022-07-22 07:58:35.067000 AM,2022-07-22 08:58:35.067000 AM
6,WB,L,1658520045.371,130.30400013923645,2022-07-22 16:00:45.371000,2022-07-22 08:00:45.371000,2022-07-22 09:00:45.371000,2022-07-22 08:00:45.371000 AM,2022-07-22 09:00:45.371000 AM
