RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
5,SB,L,1658519967.291,121.81900000572205,2022-07-22 15:59:27.291000,2022-07-22 07:59:27.291000,2022-07-22 08:59:27.291000,2022-07-22 07:59:27.291000 AM,2022-07-22 08:59:27.291000 AM
5,WB,L,1658519791.287,105.7059998512268,2022-07-22 15:56:31.287000,2022-07-22 07:56:31.287000,2022-07-22 08:56:31.287000,2022-07-22 07:56:31.287000 AM,2022-07-22 08:56:31.287000 AM
5,WB,L,1658519921.295,111.2170000076294,2022-07-22 15:58:41.295000,2022-07-22 07:58:41.295000,2022-07-22 08:58:41.295000,2022-07-22 07:58:41.295000 AM,2022-07-22 08:58:41.295000 AM
6,NB,T,1658519805.389,90.0149998664856,2022-07-22 15:56:45.389000,2022-07-22 07:56:45.389000,2022-07-22 08:56:45.389000,2022-07-22 07:56:45.389000 AM,2022-07-22 08:56:45.389000 AM
6,NB,T,1658519929.068,83.6930000782013,2022-07-22 15:58:49.068000,2022-07-22 07:58:49.068000,2022-07-22 08:58:49.068000,2022-07-22 07:58:49.068000 AM,2022-07-22 08:58:49.068000 AM
6,SB,L,1658519846.376,101.0019998550415,2022-07-22 15:57:26.376000,2022-07-22 07:57:26.376000,2022-07-22 08:57:26.376000,2022-07-22 07:57:26.376000 AM,2022-07-22 08:57:26.376000 AM
6,SB,L,1658519976.377,100.31000018119812,2022-07-22 15:59:36.377000,2022-07-22 07:59:36.377000,2022-07-22 08:59:36.377000,2022-07-22 07:59:36.377000 AM,2022-07-22 08:59:36.377000 AM
6,SB,T,1658519805.389,60.014999866485596,2022-07-22 15:56:45.389000,2022-07-22 07:56:45.389000,2022-07-22 08:56:45.389000,2022-07-22 07:56:45.389000 AM,2022-07-22 08:56:45.389000 AM
6,SB,T,1658519929.068,53.00100016593933,2022-07-22 15:58:49.068000,2022-07-22 07:58:49.068000,2022-07-22 08:58:49.068000,2022-07-22 07:58:49.068000 AM,2022-07-22 08:58:49.068000 AM
6,WB,L,1658519876.381,91.0090000629425,2022-07-22 15:57:56.381000,2022-07-22 07:57:56.381000,2022-07-22 08:57:56.381000,2022-07-22 07:57:56.381000 AM,2022-07-22 08:57:56.381000 AM
6,WB,L,1658520006.379,91.31200003623962,2022-07-22 16:00:06.379000,2022-07-22 08:00:06.379000,2022-07-22 09:00:06.379000,2022-07-22 08:00:06.379000 AM,2022-07-22 09:00:06.379000 AM
7,NB,T,1658519863.892,79.79900002479553,2022-07-22 15:57:43.892000,2022-07-22 07:57:43.892000,2022-07-22 08:57:43.892000,2022-07-22 07:57:43.892000 AM,2022-07-22 08:57:43.892000 AM
7,NB,T,1658519944.993,31.6010000705719,2022-07-22 15:59:04.993000,2022-07-22 07:59:04.993000,2022-07-22 08:59:04.993000,2022-07-22 07:59:04.993000 AM,2022-07-22 08:59:04.993000 AM
7,SB,T,1658519863.892,79.79900002479553,2022-07-22 15:57:43.892000,2022-07-22 07:57:43.892000,2022-07-22 08:57:43.892000,2022-07-22 07:57:43.892000 AM,2022-07-22 08:57:43.892000 AM
7,SB,T,1658519967.493,54.1010000705719,2022-07-22 15:59:27.493000,2022-07-22 07:59:27.493000,2022-07-22 08:59:27.493000,2022-07-22 07:59:27.493000 AM,2022-07-22 08:59:27.493000 AM
7,EB,T,1658519804.098,120.40499997138977,2022-07-22 15:56:44.098000,2022-07-22 07:56:44.098000,2022-07-22 08:56:44.098000,2022-07-22 07:56:44.098000 AM,2022-07-22 08:56:44.098000 AM
